Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
half,365,64.29,269,(名詞/形容詞) 半分、半分の。,I ate **half** of the cake.,,
minute,366,64.28,268,(名詞) 分（時間の）。,Wait a **minute**!,,
food,367,64.28,268,(名詞) 食料。,I like Japanese **food**.,,
break,368,64.28,268,(動詞/名詞) 壊す、休憩。,Let's take a **break**.,,
clear,369,64.25,266,(形容詞/動詞) 明らかな、晴れた、明確にする。,The sky is **clear**.,,
future,370,64.24,266,(名詞) 未来。,What are your plans for the **future**?,,
either,371,64.24,266,(副詞/形容詞) どちらか一方。,You can choose **either** one.,,
ago,372,64.24,265,(副詞) ～前。,I saw him two days **ago**.,,
per,373,64.24,265,(前置詞) ～につき、～ごとに。,The cost is $10 **per** person.,,
remain,374,64.24,265,(動詞) 残る、～のままである。,Please **remain** seated.,,
top,375,64.23,265,(名詞/形容詞) 上、一番上。,Put it on **top** of the shelf.,,
among,376,64.23,265,(前置詞) ～の間で（3つ以上のもの）。,He is popular **among** his friends.,,
win,377,64.21,264,(動詞) 勝つ。,I hope we **win** the game.,,
color,378,64.2,263,(名詞) 色。,What's your favorite **color**?,,
involve,379,64.16,260,(動詞) 巻き込む、含む。,The project **involves** many people.,,
reach,380,64.15,260,(動詞) 達する、手を伸ばす。,Can you **reach** the top shelf?,,
social,381,64.15,260,(形容詞) 社会の、社交的な。,We need to address **social** issues.,,
period,382,64.13,259,(名詞) 期間、時代。,This is a difficult **period**.,,
across,383,64.12,258,(前置詞/副詞) ～を横切って、向こう側に。,He walked **across** the street.,,
note,384,64.12,258,(名詞/動詞) メモ、注目する。,Please take **notes**.,,
history,385,64.12,258,(名詞) 歴史。,I love studying **history**.,,
create,386,64.11,258,(動詞) 創造する、生み出す。,We need to **create** new ideas.,,
drive,387,64.11,258,(動詞/名詞) 運転する、ドライブ。,I **drive** to work every day.,,
along,388,64.1,257,(前置詞/副詞) ～に沿って、一緒に。,Walk **along** the river.,,
type,389,64.09,257,(名詞/動詞) タイプ、型。,What **type** of music do you like?,,
sound,390,64.08,256,(名詞/動詞) 音、～に聞こえる。,I heard a strange **sound**.,,
eye,391,64.07,256,(名詞) 目。,She has blue **eyes**.,,
music,392,64.07,255,(名詞) 音楽。,I like listening to **music**.,,
game,393,64.07,255,(名詞) ゲーム、試合。,Let's play a **game**.,,
political,394,64.06,255,(形容詞) 政治の。,He is interested in **political** issues.,,
free,395,64.06,255,(形容詞/動詞) 自由な、無料の、解放する。,Feel **free** to ask questions.,,
receive,396,64.05,254,(動詞) 受け取る。,I **received** an email from him.,,
moment,397,64.05,254,(名詞) 瞬間、ちょっとの間。,Just a **moment**, please.,
sale,398,64.04,254,(名詞) 販売、セール。,The store has a big **sale**.,,
policy,399,64.04,253,(名詞) 政策、方針。,The company has a strict **policy**.,,
further,400,63.99,251,(副詞/形容詞) さらに、それ以上の。,I need **further** information.,,
body,401,63.98,250,(名詞) 体、本体。,Exercise is good for your **body**.,,
require,402,63.97,249,(動詞) 要求する、必要とする。,This job **requires** good communication skills.,,
wait,403,63.96,249,(動詞) 待つ。,Please **wait** for me.,,
general,404,63.95,248,(形容詞) 一般的な。,In **general**, I agree with you.,
appear,405,63.95,248,(動詞) 現れる、～のように見える。,He didn't **appear** at the meeting.,,
toward,406,63.95,248,(前置詞) ～の方へ。,She walked **toward** the door.,,
team,407,63.95,248,(名詞) チーム。,Our **team** won the game.,,
easy,408,63.95,248,(形容詞) 簡単な。,It's an **easy** question.,,
individual,409,63.95,248,(形容詞/名詞) 個々の、個人。,Each **individual** is unique.,,
full,410,63.95,248,(形容詞) いっぱいの。,The bottle is **full**.,,
black,411,63.94,248,(形容詞/名詞) 黒い、黒。,She wears a **black** dress.,,
sense,412,63.92,247,(名詞/動詞) 感覚、意味、感じる。,It makes **sense**.,,
perhaps,413,63.91,246,(副詞) ひょっとしたら、おそらく。,**Perhaps** we should leave now.,,
add,414,63.89,245,(動詞) 加える。,Please **add** some sugar.,,
rule,415,63.88,245,(名詞/動詞) 規則、支配する。,Follow the **rules**.,,
pass,416,63.86,243,(動詞) 通過する、渡す。,Please **pass** me the salt.,,
produce,417,63.86,243,(動詞) 生産する。,This factory **produces** cars.,,
sell,418,63.86,243,(動詞) 売る。,I want to **sell** my old car.,,
short,419,63.81,241,(形容詞) 短い。,He is a **short** man.,,
agree,420,63.81,240,(動詞) 同意する。,I **agree** with you.,,
law,421,63.79,239,(名詞) 法律。,It's against the **law**.,,
everything,422,63.77,238,(代名詞) すべてのもの。,**Everything** is ready.,,
research,423,63.75,237,(名詞/動詞) 研究、調査する。,He is doing **research** on climate change.,,
cover,424,63.73,236,(動詞/名詞) 覆う、カバー。,Please **cover** the food.,,
paper,425,63.73,236,(名詞) 紙、新聞、論文。,I need a piece of **paper**.,,
position,426,63.72,236,(名詞) 位置、役職。,What's your **position** in the company?,,
near,427,63.72,236,(前置詞/形容詞) ～の近くに、近い。,My house is **near** the station.,,
human,428,63.72,235,(形容詞/名詞) 人間の、人間。,**Human** beings are complex.,,
computer,429,63.72,235,(名詞) コンピューター。,I use my **computer** for work.,,
situation,430,63.7,235,(名詞) 状況。,It's a difficult **situation**.,,
staff,431,63.7,234,(名詞) スタッフ、職員。,The hotel **staff** are very friendly.,,
activity,432,63.68,234,(名詞) 活動。,We planned many **activities** for the trip.,,
film,433,63.66,232,(名詞/動詞) 映画、撮影する。,Let's watch a **film**.,,
morning,434,63.65,232,(名詞) 朝。,Good **morning**!,,
war,435,63.63,231,(名詞) 戦争。,The country was involved in a **war**.,,
account,436,63.63,231,(名詞/動詞) 口座、説明する。,Please give me your **account** number.,,
shop,437,63.62,230,(名詞/動詞) 店、買い物をする。,I need to go to the **shop**.,,
major,438,63.59,229,(形容詞) 主要な、大きな。,It's a **major** problem.,,
someone,439,63.58,228,(代名詞) 誰か。,**Someone** is at the door.,,
above,440,63.58,228,(前置詞/副詞) ～の上に、上方に。,The bird flew **above** the trees.,,
design,441,63.58,228,(名詞/動詞) デザイン、設計する。,I like the **design** of your house.,,
event,442,63.57,228,(名詞) イベント、出来事。,The **event** was a great success.,,
special,443,63.57,228,(形容詞) 特別な。,This is a **special** occasion.,,
sometimes,444,63.57,227,(副詞) 時々。,I **sometimes** go for a walk.,,
condition,445,63.54,226,(名詞) 状態、条件。,The car is in good **condition**.,,
carry,446,63.54,226,(動詞) 運ぶ。,Please **carry** this box.,,
choose,447,63.53,225,(動詞) 選ぶ。,Please **choose** your favorite color.,,
father,448,63.51,225,(名詞) 父。,My **father** is a kind man.,,
decision,449,63.51,224,(名詞) 決定。,I made a difficult **decision**.,,
table,450,63.5,224,(名詞) テーブル。,Put the book on the **table**.,,
certain,451,63.49,223,(形容詞) 確かな、特定の。,I'm **certain** he will come.,,
forward,452,63.48,223,(副詞) 前方へ。,Move **forward**!,,
main,453,63.48,223,(形容詞) 主要な。,What's the **main** reason?,,
die,454,63.47,222,(動詞) 死ぬ。,Many people **died** in the war.,,
bear,455,63.45,222,(動詞/名詞) 我慢する、クマ。,I can't **bear** the pain.,,
cut,456,63.45,221,(動詞/名詞) 切る、切り傷。,Please **cut** the paper.,,
describe,457,63.43,220,(動詞) 描写する、説明する。,Can you **describe** the person?,,
himself,458,63.42,220,(代名詞) 彼自身。,He did it **himself**.,,
available,459,63.42,220,(形容詞) 利用可能な、手に入る。,Is this book **available**?,,
especially,460,63.42,220,(副詞) 特に。,I like ice cream, **especially** chocolate.,
strong,461,63.38,218,(形容詞) 強い。,He is a **strong** man.,,
rise,462,63.38,218,(動詞/名詞) 上がる、上昇。,The sun **rises** in the east.,,
girl,463,63.37,217,(名詞) 少女。,She is a lovely **girl**.,,
maybe,464,63.37,217,(副詞) もしかしたら。,**Maybe** it will rain tomorrow.,,
community,465,63.37,217,(名詞) 地域社会、共同体。,We live in a friendly **community**.,,
else,466,63.34,216,(副詞) 他に。,Do you need anything **else**?,,
particular,467,63.33,215,(形容詞) 特定の、特別な。,Is there anything in **particular** you want?,,
role,468,63.33,215,(名詞) 役割。,What is your **role** in this project?,,
join,469,63.33,215,(動詞) 加わる、参加する。,Would you like to **join** us?,,
difficult,470,63.32,215,(形容詞) 難しい。,It's a **difficult** question.,,
please,471,63.28,213,(副詞) どうか、～してください。,**Please** help me.,,
detail,472,63.28,213,(名詞) 詳細。,Tell me all the **details**.,,
difference,473,63.27,212,(名詞) 違い。,What's the **difference**?,,
action,474,63.21,210,(名詞) 行動、作用。,We need to take **action**.,,
health,475,63.21,209,(名詞) 健康。,Eat healthy for good **health**.,,
eat,476,63.19,209,(動詞) 食べる。,I want to **eat** pizza.,,
step,477,63.18,208,(名詞/動詞) 段階、一歩、歩む。,Take one **step** at a time.,,
TRUE,478,63.17,208,(形容詞) 本当の、正しい。,Is that **true**?,,
phone,479,63.16,207,(名詞/動詞) 電話、電話をかける。,Can I use your **phone**?,,
themselves,480,63.16,207,(代名詞) 彼ら自身。,They did it **themselves**.,,
draw,481,63.15,207,(動詞) 描く、引く。,Can you **draw** a picture?,,
white,482,63.14,206,(形容詞/名詞) 白い、白。,She wore a **white** dress.,,
date,483,63.13,205,(名詞) 日付、デート。,What's the **date** today?,,
practice,484,63.12,205,(名詞/動詞) 練習、実行する。,You need to **practice** every day.,,
model,485,63.12,205,(名詞) モデル、手本。,She is a fashion **model**.,,
raise,486,63.11,205,(動詞) 上げる、育てる。,Please **raise** your hand.,,
customer,487,63.11,205,(名詞) 顧客。,The **customer** is always right.,,
front,488,63.07,203,(名詞/形容詞) 前、正面の。,The car is in **front** of the house.,,
explain,489,63.06,202,(動詞) 説明する。,Can you **explain** that again?,,
door,490,63.05,202,(名詞) ドア。,Please close the **door**.,,
outside,491,63.02,200,(副詞/前置詞) 外に、外で。,Let's go **outside**.,,
behind,492,63.01,200,(前置詞/副詞) ～の後ろに、遅れて。,He is hiding **behind** the tree.,,
economic,493,62.99,199,(形容詞) 経済の。,We are facing **economic** challenges.,,
site,494,62.98,199,(名詞) 場所、サイト。,This is a beautiful **site**.,,
approach,495,62.98,199,(動詞/名詞) 近づく、取り組み。,He **approached** the problem carefully.,,
teacher,496,62.98,199,(名詞) 先生。,My English **teacher** is very kind.,,
land,497,62.94,197,(名詞/動詞) 土地、着陸する。,The plane will **land** soon.,,
charge,498,62.94,197,(名詞/動詞) 料金、責任、請求する。,There is no **charge** for this service.,,
finally,499,62.93,197,(副詞) ついに、最後に。,**Finally**, I finished my work.,
sign,500,62.93,197,(名詞/動詞) 標識、兆候、署名する。,Please read the **sign**.,,
claim,501,62.93,196,(動詞/名詞) 主張する、主張。,He **claims** to be innocent.,,
relationship,502,62.93,196,(名詞) 関係。,They have a good **relationship**.,,
travel,503,62.91,195,(動詞/名詞) 旅行する、旅行。,I love to **travel**.,,
enjoy,504,62.89,195,(動詞) 楽しむ。,I **enjoy** reading books.,,
death,505,62.89,194,(名詞) 死。,His **death** was a great loss.,,
nice,506,62.86,193,(形容詞) 素敵な、親切な。,Have a **nice** day!,,
amount,507,62.86,193,(名詞) 量。,I need a small **amount** of sugar.,,
improve,508,62.83,192,(動詞) 改善する。,I want to **improve** my English.,,
picture,509,62.83,192,(名詞) 絵、写真。,Look at this **picture**.,,
boy,510,62.83,192,(名詞) 少年。,He is a good **boy**.,,
regard,511,62.82,191,(動詞/名詞) 見なす、配慮。,I have high **regard** for him.,,
organization,512,62.82,191,(名詞) 組織、団体。,He works for an international **organization**.,,
happy,513,62.81,191,(形容詞) 幸せな。,I'm so **happy** to see you.,,
couple,514,62.81,191,(名詞) カップル、2、3の。,I saw a happy **couple**.,,
act,515,62.8,190,(動詞/名詞) 行動する、行為。,Please **act** responsibly.,,
range,516,62.79,190,(名詞) 範囲。,The store offers a wide **range** of products.,,
quality,517,62.78,190,(名詞) 品質。,We aim for high **quality**.,,
project,518,62.78,190,(名詞) プロジェクト、計画。,We are working on a new **project**.,,
round,519,62.77,189,(形容詞/副詞) 丸い、周りに。,The table is **round**.,,
opportunity,520,62.76,189,(名詞) 機会。,This is a great **opportunity**.,,
road,521,62.76,189,(名詞) 道、道路。,Be careful on the **road**.,,
accord,522,62.74,188,(動詞/名詞) 一致する、合意。,Everything went according to the **plan**.,,
list,523,62.73,187,(名詞/動詞) リスト、一覧にする。,Please make a shopping **list**.,,
wish,524,62.73,187,(動詞/名詞) 願う、願い。,I **wish** you good luck.,,
therefore,525,62.72,187,(副詞) それゆえに。,He was sick; **therefore**, he couldn't come.,
wear,526,62.71,187,(動詞) 着る、身につける。,I usually **wear** a T-shirt.,,
fund,527,62.71,187,(名詞/動詞) 基金、資金提供する。,We need to raise **funds** for the project.,,
rest,528,62.71,186,(名詞/動詞) 休憩、残りのもの、休む。,Take a **rest**.,,
